ts_utc,bmp_tempC_mean,bmp_pressurePa_mean,bmp_pressure_hPa,smq_tempC_interp,smq_mslp_hPa_interp,temp_diff_C,pressure_diff_hPa,session,run_label,run_date
2026-03-15 22:20:00+00:00,24.94875,102524.992,1025.24992,4.694444444444445,1026.13,20.254305555555554,-0.8800800000001345,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 22:30:00+00:00,24.92422,102509.294,1025.09294,4.787037037037037,1026.03,20.13718296296296,-0.937059999999974,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 22:40:00+00:00,24.85321,102506.089,1025.06089,4.87962962962963,1025.93,19.97358037037037,-0.8691100000000915,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 22:50:00+00:00,24.81114,102506.372,1025.06372,4.972222222222222,1025.83,19.83891777777778,-0.7662799999998242,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 23:00:00+00:00,24.77903333333333,102492.78333333334,1024.9278333333334,5.0,1025.695,19.77903333333333,-0.767166666666526,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 23:10:00+00:00,24.74083,102475.958,1024.75958,5.0,1025.545,19.74083,-0.7854200000001583,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 23:20:00+00:00,24.73664,102465.674,1024.65674,5.0,1025.395,19.73664,-0.7382600000000821,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 23:30:00+00:00,24.75014,102446.438,1024.46438,5.0,1025.2450000000001,19.75014,-0.7806200000002264,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 23:40:00+00:00,24.83527,102435.604,1024.3560400000001,5.0,1025.095,19.83527,-0.7389599999999064,39,Run 3 (2026-03-11),2026-03-11
2026-03-15 23:50:00+00:00,24.81828,102424.934,1024.2493399999998,5.0,1024.9450000000002,19.81828,-0.6956600000003164,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 00:00:00+00:00,24.79785,102412.534,1024.12534,5.081018518518518,1024.8066666666668,19.71683148148148,-0.6813266666667914,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 00:10:00+00:00,24.75661,102391.015,1023.91015,5.1967592592592595,1024.6733333333334,19.55985074074074,-0.7631833333333589,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 00:20:00+00:00,24.74361111111111,102373.34666666666,1023.7334666666667,5.3125,1024.54,19.43111111111111,-0.8065333333332774,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 00:30:00+00:00,24.72791,102362.851,1023.62851,5.4282407407407405,1024.4066666666668,19.29966925925926,-0.7781566666667459,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 00:40:00+00:00,24.77315,102338.552,1023.3855199999999,5.543981481481481,1024.2733333333333,19.22916851851852,-0.8878133333333835,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 00:50:00+00:00,24.87396,102326.739,1023.26739,5.555555555555555,1024.1399999999999,19.318404444444447,-0.8726099999998951,39,Run 3 (2026-03-11),2026-03-11
2026-03-16 01:00:00+00:00,25.13526,102312.885,1023.1288499999999,5.62037037037037,1023.9483333333333,19.51488962962963,-0.8194833333333236,39,Run 3 (2026-03-11),2026-03-11
